Event , PID , PT , Y 
684,421,1.55906,-1.81707
684,-421,3.18375,-0.235741
685,-421,2.39272,-0.534522
686,-421,4.06764,0.0957967
690,421,5.27876,0.312011
699,-421,0.530556,1.77838
703,-421,3.48898,1.44334
706,421,1.63707,-1.94736
709,-421,1.6321,-0.155641
714,-421,2.98465,1.15688
714,421,3.20294,1.32423
715,-421,1.50269,0.061033
717,421,0.932316,-0.0252276
718,421,8.37015,1.55406
719,421,3.64634,-1.73107
719,-421,1.80424,-1.79553
724,-421,2.20202,-1.45745
728,-421,0.516181,0.702775
728,421,0.982702,-1.02518
732,421,2.89785,-0.431428
735,421,1.97826,-1.17896
745,421,2.42654,0.694752
753,421,1.28387,0.746893
754,421,1.90056,0.0434145
755,421,2.41859,-0.262977
757,-421,1.59035,1.2718
757,421,1.179,0.936738
759,421,2.11901,-1.77867
761,421,0.830724,1.58816
762,-421,0.884631,0.702821
762,421,0.950347,-0.343085
765,-421,2.08809,-0.0842297
771,421,9.71285,1.06562
771,-421,4.00591,0.253986
775,-421,1.01282,0.17116
776,-421,2.00295,-0.664345
778,421,0.486079,1.80816
783,-421,1.63502,1.97555
784,421,1.1122,0.950263
785,421,1.50822,0.0614944
788,-421,1.84916,-0.800484
788,421,1.64886,0.264492
789,421,0.983413,0.0832114
790,421,2.5447,-1.07519
797,-421,2.18509,0.0408683
800,421,2.85665,0.285056
802,421,2.55788,-1.17537
804,-421,3.00071,1.67571
808,-421,0.515271,0.716691
808,421,0.70223,1.07285
809,421,4.24555,-0.425503
809,-421,4.43659,0.334723
810,-421,1.56059,-1.78122
813,421,1.13992,-1.84231
813,421,1.59023,0.321453
818,-421,2.09512,0.455021
818,421,0.538193,0.378103
822,-421,2.69433,0.61995
823,421,0.3439,1.31156
826,421,0.627285,1.74552
830,-421,0.858347,0.846205
830,421,1.67768,1.13627
834,421,1.69921,-0.0280631
835,421,4.79175,0.842509
836,-421,1.47648,0.281749
838,-421,1.55148,0.161323
840,421,4.89518,-0.296829
840,-421,2.46164,-1.0436
842,421,1.21217,1.63473
845,-421,1.78373,-0.0913281
847,-421,2.76614,0.631847
849,421,4.70118,-1.4775
852,421,3.16882,0.824168
854,421,2.03472,0.836541
854,-421,0.497614,-1.16872
859,-421,1.40946,-0.69745
860,-421,1.26646,-1.29819
860,421,3.09567,-1.05093
861,421,1.44596,-1.04212
865,421,2.03295,-0.190949
865,-421,1.07187,-1.64677
866,421,1.53397,-1.41321
868,421,1.6618,-0.274812
873,421,1.96494,-1.925
879,421,1.0752,-0.546765
883,-421,1.3543,0.109391
886,421,1.42337,0.689866
887,421,1.15337,0.914836
889,421,3.72459,1.21024
889,-421,1.21874,1.54752
890,-421,2.13641,-1.562
891,-421,4.83959,0.332617
900,421,1.22615,-1.69871
905,-421,0.64999,1.36715
912,-421,2.147,-1.56717
914,421,1.50229,0.773266
918,-421,4.01208,-1.44615
919,421,1.06597,1.28949
919,-421,1.92542,0.203095
920,-421,3.43808,-1.18594
923,421,4.86594,-0.894908
923,-421,4.19327,0.760356
925,421,0.768348,-0.449177
926,421,1.37949,-0.923529
928,-421,1.13131,0.0529394
931,421,2.12925,0.323591
932,-421,2.25964,-0.718918
933,421,2.77842,-1.46359
934,-421,0.106257,-0.541343
936,-421,1.25835,0.336796
937,421,2.15358,1.0315
937,-421,2.1471,0.0695886
938,-421,0.681315,0.593111
940,421,2.06177,-0.674338
942,421,1.22664,-0.604513
942,-421,1.27607,-1.87159
947,-421,2.17799,0.32138
949,421,1.13143,0.0644748
949,-421,0.721251,1.63747
950,-421,2.84749,-0.419754
957,-421,1.99086,1.72153
959,-421,2.13755,-1.90178
959,421,2.10581,0.284835
960,-421,1.25313,1.65501
960,421,0.723826,1.02361
962,-421,2.13398,-0.816641
964,421,1.21487,-1.45406
964,-421,0.92934,0.535742
965,421,1.6598,1.25703
966,-421,3.80175,-0.19391
968,421,4.17464,1.82506
969,-421,3.23761,-1.0171
972,421,4.60899,0.129658
972,-421,2.44803,-1.91588
977,-421,3.45502,-0.255783
980,-421,0.911764,-0.321527
987,-421,6.15503,1.3675
989,421,0.927675,-1.68855
996,421,1.71162,-0.637762
996,-421,0.572258,-0.759336
